utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,Ethan,1,you wanna sit with mommy ? 34413_37325,you wanna sit with mommy,5,5,7,7,7,7,5,Ethan/001104.cha,16,11.133,,,
2,2,MOT,Ethan,1,you wanna sit up ? 37325_38875,you wanna sit up,4,4,5,5,5,5,4,Ethan/001104.cha,19,11.133,you wanna sit with mommy,you wanna sit with mommy,you wanna sit with mommy
3,3,MOT,Ethan,1,that's a camera . 38511_40995,that's a camera,3,4,5,5,5,5,3,Ethan/001104.cha,22,11.133,you wanna sit up,you wanna sit with mommy you wanna sit up,you wanna sit with mommy you wanna sit up
4,4,MOT,Ethan,1,you wanna see the camera ? 40996_42356,you wanna see the camera,5,5,8,8,8,8,5,Ethan/001104.cha,25,11.133,that's a camera,you wanna sit up that's a camera,you wanna sit with mommy you wanna sit up that's a camera
5,5,MOT,Ethan,1,see the light ? 42356_44851,see the light,3,3,3,3,3,3,3,Ethan/001104.cha,28,11.133,you wanna see the camera,that's a camera you wanna see the camera,you wanna sit up that's a camera you wanna see the camera
6,6,MOT,Ethan,1,there's a little red light . 44851_47300,there's a little red light,5,6,6,7,6,7,5,Ethan/001104.cha,31,11.133,see the light,you wanna see the camera see the light,that's a camera you wanna see the camera see the light
7,7,MOT,Ethan,1,light . 47300_49851,light,1,1,1,1,1,1,1,Ethan/001104.cha,34,11.133,there's a little red light,see the light there's a little red light,you wanna see the camera see the light there's a little red light
8,8,MOT,Ethan,1,"mhm , you wanna see ?",mhm you wanna see ?,4,5,5,5,5,5,4,Ethan/001104.cha,37,11.133,light,there's a little red light light,see the light there's a little red light light
9,9,MOT,Ethan,1,look . 49851_54621,look,1,1,1,1,1,1,1,Ethan/001104.cha,40,11.133,mhm you wanna see ?,light mhm you wanna see ?,there's a little red light light mhm you wanna see ?
10,10,MOT,Ethan,1,see ? 54621_56316,see,1,1,1,1,1,1,1,Ethan/001104.cha,43,11.133,look,mhm you wanna see ? look,light mhm you wanna see ? look
11,11,MOT,Ethan,1,see the camera ? 56316_58963,see the camera,3,3,5,5,5,5,3,Ethan/001104.cha,46,11.133,see,look see,mhm you wanna see ? look see
12,12,MOT,Ethan,1,that's a camera . 58963_63371,that's a camera,3,4,5,5,5,5,3,Ethan/001104.cha,49,11.133,see the camera,see see the camera,look see see the camera
13,13,MOT,Ethan,1,"hm: , yeah . 63371_68836",hm yeah,2,3,2,2,2,2,2,Ethan/001104.cha,52,11.133,that's a camera,see the camera that's a camera,see see the camera that's a camera
14,14,MOT,Ethan,1,yeah a camera . 68836_72741,yeah a camera,3,3,5,5,5,5,3,Ethan/001104.cha,55,11.133,hm yeah,that's a camera hm yeah,see the camera that's a camera hm yeah
15,15,MOT,Ethan,1,camera's taking your picture . 72741_76611,camera's taking your picture,4,5,8,9,8,8,4,Ethan/001104.cha,58,11.133,yeah a camera,hm yeah yeah a camera,that's a camera hm yeah yeah a camera
16,16,MOT,Ethan,1,here's a picture . 78716_80780,here's a picture,3,4,5,6,5,5,3,Ethan/001104.cha,61,11.133,camera's taking your picture,yeah a camera camera's taking your picture,hm yeah yeah a camera camera's taking your picture
17,17,MOT,Ethan,1,that's right .,that's right .,2,3,2,2,2,2,2,Ethan/001104.cha,64,11.133,here's a picture,camera's taking your picture here's a picture,yeah a camera camera's taking your picture here's a picture
18,18,MOT,Ethan,1,mhm . 80780_83291,mhm,1,1,1,1,1,1,1,Ethan/001104.cha,67,11.133,that's right .,here's a picture that's right .,camera's taking your picture here's a picture that's right .
19,19,MOT,Ethan,1,"are you saying , hi ? 84331_86316",are you saying hi,4,5,4,4,5,4,4,Ethan/001104.cha,70,11.133,mhm,that's right . mhm,here's a picture that's right . mhm
20,20,MOT,Ethan,1,hi . 86316_88596,hi,1,1,1,1,1,1,1,Ethan/001104.cha,73,11.133,are you saying hi,mhm are you saying hi,that's right . mhm are you saying hi
21,21,MOT,Ethan,1,hi camera . 88596_90028,hi camera,2,2,4,4,4,4,2,Ethan/001104.cha,76,11.133,hi,are you saying hi hi,mhm are you saying hi hi
22,22,MOT,Ethan,1,hi camera . 91294_92673,hi camera,2,2,4,4,4,4,2,Ethan/001104.cha,79,11.133,hi camera,hi hi camera,are you saying hi hi hi camera
23,23,MOT,Ethan,1,you wanna look at the book sweetie ? 95993_97959,you wanna look at the book sweetie,7,7,8,9,8,8,7,Ethan/001104.cha,82,11.133,hi camera,hi camera hi camera,hi hi camera hi camera
24,24,MOT,Ethan,1,you wanna finish looking at your book ? 97518_101956,you wanna finish looking at your book,7,8,10,10,10,10,7,Ethan/001104.cha,85,11.133,you wanna look at the book sweetie,hi camera you wanna look at the book sweetie,hi camera hi camera you wanna look at the book sweetie
25,25,MOT,Ethan,1,we start at the beginning . 101956_105228,we start at the beginning,5,6,7,7,7,7,5,Ethan/001104.cha,88,11.133,you wanna finish looking at your book,you wanna look at the book sweetie you wanna finish looking at your book,hi camera you wanna look at the book sweetie you wanna finish looking at your book
26,26,MOT,Ethan,1,the wheels on the bus go round and round . 105228_113021,the wheels on the bus go round and round,9,9,9,9,9,9,9,Ethan/001104.cha,91,11.133,we start at the beginning,you wanna finish looking at your book we start at the beginning,you wanna look at the book sweetie you wanna finish looking at your book we start at the beginning
27,27,MOT,Ethan,1,round and +...,round and .,2,3,2,2,2,2,2,Ethan/001104.cha,94,11.133,the wheels on the bus go round and round,we start at the beginning the wheels on the bus go round and round,you wanna finish looking at your book we start at the beginning the wheels on the bus go round and round
28,28,MOT,Ethan,1,you wanna see the camera ? 113021_116100,you wanna see the camera,5,5,8,8,8,8,5,Ethan/001104.cha,97,11.133,round and .,the wheels on the bus go round and round round and .,we start at the beginning the wheels on the bus go round and round round and .
29,29,MOT,Ethan,1,you're fascinated . 118940_121915,you're fascinated,2,4,5,6,5,6,2,Ethan/001104.cha,100,11.133,you wanna see the camera,round and . you wanna see the camera,the wheels on the bus go round and round round and . you wanna see the camera
30,30,MOT,Ethan,1,the wheels on the bus go round and round . 121915_127275,the wheels on the bus go round and round,9,9,9,9,9,9,9,Ethan/001104.cha,103,11.133,you're fascinated,you wanna see the camera you're fascinated,round and . you wanna see the camera you're fascinated
31,31,MOT,Ethan,1,you wanna look at it ? 127275_129638,you wanna look at it,5,5,6,6,6,6,5,Ethan/001104.cha,106,11.133,the wheels on the bus go round and round,you're fascinated the wheels on the bus go round and round,you wanna see the camera you're fascinated the wheels on the bus go round and round
32,32,MOT,Ethan,1,you wanna look ? 129638_133075,you wanna look,3,3,4,4,4,4,3,Ethan/001104.cha,109,11.133,you wanna look at it,the wheels on the bus go round and round you wanna look at it,you're fascinated the wheels on the bus go round and round you wanna look at it
33,33,MOT,Ethan,1,"yeah , that's a camera . 133075_136995",yeah that's a camera,4,6,6,6,6,6,4,Ethan/001104.cha,112,11.133,you wanna look,you wanna look at it you wanna look,the wheels on the bus go round and round you wanna look at it you wanna look
34,34,MOT,Ethan,1,mhm .,mhm .,1,1,1,1,1,1,1,Ethan/001104.cha,115,11.133,yeah that's a camera,you wanna look yeah that's a camera,you wanna look at it you wanna look yeah that's a camera
35,35,MOT,Ethan,1,would you like a cheerio ? 136995_146766,would you like a cheerio,5,5,6,7,6,6,5,Ethan/001104.cha,118,11.133,mhm .,yeah that's a camera mhm .,you wanna look yeah that's a camera mhm .
36,36,MOT,Ethan,1,would you like a cheerio ? 146766_150253,would you like a cheerio,5,5,6,7,6,6,5,Ethan/001104.cha,121,11.133,would you like a cheerio,mhm . would you like a cheerio,yeah that's a camera mhm . would you like a cheerio
37,37,MOT,Ethan,1,"yummy , yummy . 150253_155958",yummy yummy,2,3,4,4,4,4,2,Ethan/001104.cha,124,11.133,would you like a cheerio,would you like a cheerio would you like a cheerio,mhm . would you like a cheerio would you like a cheerio
38,38,MOT,Ethan,1,wanna put the top on ? 155958_160101,wanna put the top on,5,6,6,6,6,6,5,Ethan/001104.cha,127,11.133,yummy yummy,would you like a cheerio yummy yummy,would you like a cheerio would you like a cheerio yummy yummy
39,39,MOT,Ethan,1,top off . 160101_162606,top off,2,2,2,2,2,2,2,Ethan/001104.cha,130,11.133,wanna put the top on,yummy yummy wanna put the top on,would you like a cheerio yummy yummy wanna put the top on
40,40,MOT,Ethan,1,top on . 162606_165156,top on,2,2,2,2,2,2,2,Ethan/001104.cha,133,11.133,top off,wanna put the top on top off,yummy yummy wanna put the top on top off
41,41,MOT,Ethan,1,"mhm , that's right . 165156_173493",mhm that's right,3,5,3,3,3,3,3,Ethan/001104.cha,136,11.133,top on,top off top on,wanna put the top on top off top on
42,42,MOT,Ethan,1,you're staring at the camera . 173493_177013,you're staring at the camera,5,6,8,9,8,8,5,Ethan/001104.cha,139,11.133,mhm that's right,top on mhm that's right,top off top on mhm that's right
43,43,MOT,Ethan,1,what does that look like ? 177013_181110,what does that look like,5,5,5,6,5,5,5,Ethan/001104.cha,142,11.133,you're staring at the camera,mhm that's right you're staring at the camera,top on mhm that's right you're staring at the camera
44,44,MOT,Ethan,1,an animal ? 181355_182661,an animal,2,2,4,4,4,4,2,Ethan/001104.cha,145,11.133,what does that look like,you're staring at the camera what does that look like,mhm that's right you're staring at the camera what does that look like
45,45,MOT,Ethan,1,want some more cheerios ? 184051_185965,want some more cheerios,4,4,5,7,5,5,4,Ethan/001104.cha,148,11.133,an animal,what does that look like an animal,you're staring at the camera what does that look like an animal
46,46,MOT,Ethan,1,"&-um yeah , there's a camera sweetie . 185965_189845",yeah there's a camera sweetie,5,7,8,9,8,8,5,Ethan/001104.cha,151,11.133,want some more cheerios,an animal want some more cheerios,what does that look like an animal want some more cheerios
47,47,MOT,Ethan,1,pop . 189845_194873,pop,1,1,1,1,1,1,1,Ethan/001104.cha,154,11.133,yeah there's a camera sweetie,want some more cheerios yeah there's a camera sweetie,an animal want some more cheerios yeah there's a camera sweetie
48,48,MOT,Ethan,1,"pop , pop , pop . 194873_197943",pop pop pop,3,5,3,3,3,3,3,Ethan/001104.cha,158,11.133,pop,yeah there's a camera sweetie pop,want some more cheerios yeah there's a camera sweetie pop
49,49,MOT,Ethan,1,"pop , pop , pop . 197943_200893",pop pop pop,3,5,3,3,3,3,3,Ethan/001104.cha,161,11.133,pop pop pop,pop pop pop pop,yeah there's a camera sweetie pop pop pop pop
50,50,MOT,Ethan,1,"ooh , that was a motorcycle outside . 200893_207221",ooh that was a motorcycle outside,6,8,9,11,8,10,6,Ethan/001104.cha,164,11.133,pop pop pop,pop pop pop pop pop pop,pop pop pop pop pop pop pop
51,51,MOT,Ethan,1,a loud motorcycle . 207221_211101,a loud motorcycle,3,3,5,6,4,6,3,Ethan/001104.cha,167,11.133,ooh that was a motorcycle outside,pop pop pop ooh that was a motorcycle outside,pop pop pop pop pop pop ooh that was a motorcycle outside
52,52,MOT,Ethan,1,mhm . 211101_217228,mhm,1,1,1,1,1,1,1,Ethan/001104.cha,170,11.133,a loud motorcycle,ooh that was a motorcycle outside a loud motorcycle,pop pop pop ooh that was a motorcycle outside a loud motorcycle
53,53,MOT,Ethan,1,"yoohoo , yoohoo . 217228_219956",yoohoo yoohoo,2,3,4,4,4,4,2,Ethan/001104.cha,173,11.133,mhm,a loud motorcycle mhm,ooh that was a motorcycle outside a loud motorcycle mhm
54,54,MOT,Ethan,1,okay . 219956_227956,okay,1,1,2,2,3,2,1,Ethan/001104.cha,176,11.133,yoohoo yoohoo,mhm yoohoo yoohoo,a loud motorcycle mhm yoohoo yoohoo
55,55,MOT,Ethan,1,what happens here ? 227956_230796,what happens here,3,3,4,5,4,4,3,Ethan/001104.cha,179,11.133,okay,yoohoo yoohoo okay,mhm yoohoo yoohoo okay
56,56,MOT,Ethan,1,the wipers on the bus go swish swish swish . 230796_237708,the wipers on the bus go swish swish swish,9,9,10,10,10,10,9,Ethan/001104.cha,182,11.133,what happens here,okay what happens here,yoohoo yoohoo okay what happens here
57,57,MOT,Ethan,1,"swish swish swish , swish swish swish .",swish swish swish swish swish swish .,6,7,6,6,6,6,6,Ethan/001104.cha,185,11.133,the wipers on the bus go swish swish swish,what happens here the wipers on the bus go swish swish swish,okay what happens here the wipers on the bus go swish swish swish
58,58,MOT,Ethan,1,the wipers on the bus go swish swish swish all over town . 237928_248326,the wipers on the bus go swish swish swish all over town,12,12,14,14,14,14,12,Ethan/001104.cha,188,11.133,swish swish swish swish swish swish .,the wipers on the bus go swish swish swish swish swish swish swish swish swish .,what happens here the wipers on the bus go swish swish swish swish swish swish swish swish swish .
59,59,MOT,Ethan,1,"gentle , gentle sweetie . 248549_254010",gentle gentle sweetie,3,4,3,6,3,5,3,Ethan/001104.cha,191,11.133,the wipers on the bus go swish swish swish all over town,swish swish swish swish swish swish . the wipers on the bus go swish swish swish all over town,the wipers on the bus go swish swish swish swish swish swish swish swish swish . the wipers on the bus go swish swish swish all over town
60,60,MOT,Ethan,1,"yeah , that's right . 254011_258644",yeah that's right,3,5,3,3,3,3,3,Ethan/001104.cha,194,11.133,gentle gentle sweetie,the wipers on the bus go swish swish swish all over town gentle gentle sweetie,swish swish swish swish swish swish . the wipers on the bus go swish swish swish all over town gentle gentle sweetie
61,61,MOT,Ethan,1,uhoh .,uhoh .,1,1,2,2,2,2,1,Ethan/001104.cha,197,11.133,yeah that's right,gentle gentle sweetie yeah that's right,the wipers on the bus go swish swish swish all over town gentle gentle sweetie yeah that's right
62,62,MOT,Ethan,1,"yeah , that's a camera . 258644_262885",yeah that's a camera,4,6,6,6,6,6,4,Ethan/001104.cha,200,11.133,uhoh .,yeah that's right uhoh .,gentle gentle sweetie yeah that's right uhoh .
63,63,MOT,Ethan,1,"the riders on the bus go bumpity bump bump , bumpity bump bump , bumpity bump bump .",the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump .,15,17,22,22,22,22,15,Ethan/001104.cha,203,11.133,yeah that's a camera,uhoh . yeah that's a camera,yeah that's right uhoh . yeah that's a camera
64,64,MOT,Ethan,1,the riders on the bus go bumpity bump bump . 262885_279541,the riders on the bus go bumpity bump bump,9,9,12,12,12,12,9,Ethan/001104.cha,206,11.133,the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump .,yeah that's a camera the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump .,uhoh . yeah that's a camera the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump .
65,65,MOT,Ethan,1,see it's a wire . 279541_284430,see it's a wire,4,5,4,5,4,4,4,Ethan/001104.cha,209,11.133,the riders on the bus go bumpity bump bump,the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump . the riders on the bus go bumpity bump bump,yeah that's a camera the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump . the riders on the bus go bumpity bump bump
66,66,MOT,Ethan,1,"uhhuh , yeah . 284430_289013",uhhuh yeah,2,3,3,3,3,3,2,Ethan/001104.cha,212,11.133,see it's a wire,the riders on the bus go bumpity bump bump see it's a wire,the riders on the bus go bumpity bump bump bumpity bump bump bumpity bump bump . the riders on the bus go bumpity bump bump see it's a wire
67,67,MOT,Ethan,1,that's a camera . 289013_293110,that's a camera,3,4,5,5,5,5,3,Ethan/001104.cha,215,11.133,uhhuh yeah,see it's a wire uhhuh yeah,the riders on the bus go bumpity bump bump see it's a wire uhhuh yeah
68,68,MOT,Ethan,1,what happens here ? 293110_299253,what happens here,3,3,4,5,4,4,3,Ethan/001104.cha,218,11.133,that's a camera,uhhuh yeah that's a camera,see it's a wire uhhuh yeah that's a camera
69,69,MOT,Ethan,1,bumpity bump bump . 299253_303166,bumpity bump bump,3,3,5,5,5,5,3,Ethan/001104.cha,221,11.133,what happens here,that's a camera what happens here,uhhuh yeah that's a camera what happens here
70,70,MOT,Ethan,1,bumpity bump bump . 303248_305693,bumpity bump bump,3,3,5,5,5,5,3,Ethan/001104.cha,224,11.133,bumpity bump bump,what happens here bumpity bump bump,that's a camera what happens here bumpity bump bump
71,71,MOT,Ethan,1,can you pull it ? 305993_309150,can you pull it,4,4,4,4,4,4,4,Ethan/001104.cha,227,11.133,bumpity bump bump,bumpity bump bump bumpity bump bump,what happens here bumpity bump bump bumpity bump bump
72,72,MOT,Ethan,1,"bumpity bump bump , bumpity bump bump . 309997_314448",bumpity bump bump bumpity bump bump,6,7,10,10,10,10,6,Ethan/001104.cha,230,11.133,can you pull it,bumpity bump bump can you pull it,bumpity bump bump bumpity bump bump can you pull it
73,73,MOT,Ethan,1,that's a camera sweetie . 314788_318445,that's a camera sweetie,4,5,6,7,6,6,4,Ethan/001104.cha,233,11.133,bumpity bump bump bumpity bump bump,can you pull it bumpity bump bump bumpity bump bump,bumpity bump bump can you pull it bumpity bump bump bumpity bump bump
74,74,MOT,Ethan,1,we hafta get used to it . 320758_325213,we hafta get used to it,6,7,8,8,8,8,6,Ethan/001104.cha,236,11.133,that's a camera sweetie,bumpity bump bump bumpity bump bump that's a camera sweetie,can you pull it bumpity bump bump bumpity bump bump that's a camera sweetie
75,75,MOT,Ethan,1,should we play with a toy ? 325213_328821,should we play with a toy,6,6,6,6,7,6,6,Ethan/001104.cha,239,11.133,we hafta get used to it,that's a camera sweetie we hafta get used to it,bumpity bump bump bumpity bump bump that's a camera sweetie we hafta get used to it
76,76,MOT,Ethan,1,should we get a toy ? 328821_330750,should we get a toy,5,5,5,5,5,5,5,Ethan/001104.cha,242,11.133,should we play with a toy,we hafta get used to it should we play with a toy,that's a camera sweetie we hafta get used to it should we play with a toy
77,77,MOT,Ethan,1,should we get a toy ? 330750_334150,should we get a toy,5,5,5,5,5,5,5,Ethan/001104.cha,245,11.133,should we get a toy,should we play with a toy should we get a toy,we hafta get used to it should we play with a toy should we get a toy
78,78,MOT,Ethan,1,do you want a toy ? 334150_336358,do you want a toy,5,5,5,5,5,5,5,Ethan/001104.cha,248,11.133,should we get a toy,should we get a toy should we get a toy,should we play with a toy should we get a toy should we get a toy
79,79,MOT,Ethan,1,you want your toy over there ? 336358_339343,you want your toy over there,6,6,7,8,7,7,6,Ethan/001104.cha,251,11.133,do you want a toy,should we get a toy do you want a toy,should we get a toy should we get a toy do you want a toy
80,80,MOT,Ethan,1,the candle . 345455_348318,the candle,2,2,2,3,2,3,2,Ethan/001104.cha,256,11.133,you want your toy over there,do you want a toy you want your toy over there,should we get a toy do you want a toy you want your toy over there
81,81,MOT,Ethan,1,candle . 348318_350261,candle,1,1,1,2,1,2,1,Ethan/001104.cha,259,11.133,the candle,you want your toy over there the candle,do you want a toy you want your toy over there the candle
82,82,MOT,Ethan,1,you got [= have] no hands . 351675_355461,you got no hands,4,5,4,4,4,4,4,Ethan/001104.cha,262,11.133,candle,the candle candle,you want your toy over there the candle candle
83,83,MOT,Ethan,1,your hands .,your hands .,2,2,2,2,2,2,2,Ethan/001104.cha,265,11.133,you got no hands,candle you got no hands,the candle candle you got no hands
84,84,MOT,Ethan,1,where are your hands ? 355461_359630,where are your hands,4,4,4,5,4,4,4,Ethan/001104.cha,268,11.133,your hands .,you got no hands your hands .,candle you got no hands your hands .
85,85,MOT,Ethan,1,there we go . 359630_365966,there we go,3,3,3,4,3,3,3,Ethan/001104.cha,271,11.133,where are your hands,your hands . where are your hands,you got no hands your hands . where are your hands
86,86,MOT,Ethan,1,bunka@o bunka@o bunk@o . 365966_381125,bunka bunka bunk,3,3,5,5,5,5,3,Ethan/001104.cha,274,11.133,there we go,where are your hands there we go,your hands . where are your hands there we go
87,87,MOT,Ethan,1,&-uh it's heavy . 381125_386341,it's heavy,2,3,3,3,3,3,2,Ethan/001104.cha,278,11.133,bunka bunka bunk,there we go bunka bunka bunk,where are your hands there we go bunka bunka bunk
88,88,MOT,Ethan,1,you want me to put it up ? 386341_387976,you want me to put it up,7,7,7,7,7,7,7,Ethan/001104.cha,281,11.133,it's heavy,bunka bunka bunk it's heavy,there we go bunka bunka bunk it's heavy
89,89,MOT,Ethan,1,up you want it ? 387976_392593,up you want it,4,4,4,4,4,4,4,Ethan/001104.cha,284,11.133,you want me to put it up,it's heavy you want me to put it up,bunka bunka bunk it's heavy you want me to put it up
90,90,MOT,Ethan,1,down . 392593_395153,down,1,1,1,1,1,1,1,Ethan/001104.cha,287,11.133,up you want it,you want me to put it up up you want it,it's heavy you want me to put it up up you want it
91,91,MOT,Ethan,1,mhm .,mhm .,1,1,1,1,1,1,1,Ethan/001104.cha,290,11.133,down,up you want it down,you want me to put it up up you want it down
92,92,MOT,Ethan,1,you want me to put it back ? 395153_399528,you want me to put it back,7,7,7,7,7,7,7,Ethan/001104.cha,293,11.133,mhm .,down mhm .,up you want it down mhm .
93,93,MOT,Ethan,1,okay .,okay .,1,1,2,2,3,2,1,Ethan/001104.cha,296,11.133,you want me to put it back,mhm . you want me to put it back,down mhm . you want me to put it back
94,94,MOT,Ethan,1,you want it back ? 399528_404161,you want it back,4,4,4,4,4,4,4,Ethan/001104.cha,299,11.133,okay .,you want me to put it back okay .,mhm . you want me to put it back okay .
95,95,MOT,Ethan,1,here you go . 404161_409545,here you go,3,3,3,4,3,3,3,Ethan/001104.cha,302,11.133,you want it back,okay . you want it back,you want me to put it back okay . you want it back
96,96,MOT,Ethan,1,okay .,okay .,1,1,2,2,3,2,1,Ethan/001104.cha,305,11.133,here you go,you want it back here you go,okay . you want it back here you go
97,97,MOT,Ethan,1,you want it again ? 409545_415096,you want it again,4,4,5,5,5,5,4,Ethan/001104.cha,308,11.133,okay .,here you go okay .,you want it back here you go okay .
98,98,MOT,Ethan,1,that's silly . 415096_419576,that's silly,2,3,3,3,3,3,2,Ethan/001104.cha,311,11.133,you want it again,okay . you want it again,here you go okay . you want it again
99,99,MOT,Ethan,1,"yes , mhm . 419576_427576",yes mhm,2,3,2,2,2,2,2,Ethan/001104.cha,314,11.133,that's silly,you want it again that's silly,okay . you want it again that's silly
100,100,MOT,Ethan,1,it's a camera sweetie . 427576_429753,it's a camera sweetie,4,5,6,7,6,6,4,Ethan/001104.cha,317,11.133,yes mhm,that's silly yes mhm,you want it again that's silly yes mhm
101,101,MOT,Ethan,1,no no no no touch . 429753_435681,no no no no touch,5,5,5,5,5,5,5,Ethan/001104.cha,320,11.133,it's a camera sweetie,yes mhm it's a camera sweetie,that's silly yes mhm it's a camera sweetie
102,102,MOT,Ethan,1,no touch . 435681_437448,no touch,2,2,2,2,2,2,2,Ethan/001104.cha,323,11.133,no no no no touch,it's a camera sweetie no no no no touch,yes mhm it's a camera sweetie no no no no touch
103,103,MOT,Ethan,1,"you can look at it later , okay ? 437448_440296",you can look at it later okay,7,8,9,9,10,9,7,Ethan/001104.cha,326,11.133,no touch,no no no no touch no touch,it's a camera sweetie no no no no touch no touch
104,104,MOT,Ethan,1,mhm . 440296_446425,mhm,1,1,1,1,1,1,1,Ethan/001104.cha,329,11.133,you can look at it later okay,no touch you can look at it later okay,no no no no touch no touch you can look at it later okay
105,105,MOT,Ethan,1,"yeah , it's a camera . 446425_449496",yeah it's a camera,4,6,6,6,6,6,4,Ethan/001104.cha,332,11.133,mhm,you can look at it later okay mhm,no touch you can look at it later okay mhm
106,106,MOT,Ethan,1,"it's funny , right ? 449496_454928",it's funny right,3,5,4,4,4,4,3,Ethan/001104.cha,335,11.133,yeah it's a camera,mhm yeah it's a camera,you can look at it later okay mhm yeah it's a camera
107,107,MOT,Ethan,1,say hi . 454928_457393,say hi,2,2,2,2,2,2,2,Ethan/001104.cha,338,11.133,it's funny right,yeah it's a camera it's funny right,mhm yeah it's a camera it's funny right
108,108,MOT,Ethan,1,hi . 457393_459393,hi,1,1,1,1,1,1,1,Ethan/001104.cha,341,11.133,say hi,it's funny right say hi,yeah it's a camera it's funny right say hi
109,109,MOT,Ethan,1,hi camera . 459393_460776,hi camera,2,2,4,4,4,4,2,Ethan/001104.cha,344,11.133,hi,say hi hi,it's funny right say hi hi
110,110,MOT,Ethan,1,hi camera . 460776_463096,hi camera,2,2,4,4,4,4,2,Ethan/001104.cha,347,11.133,hi camera,hi hi camera,say hi hi hi camera
111,111,MOT,Ethan,1,does it smell good ? 463096_481785,does it smell good,4,4,4,4,4,4,4,Ethan/001104.cha,350,11.133,hi camera,hi camera hi camera,hi hi camera hi camera
112,112,MOT,Ethan,1,"clap hands , clap hands , clap hands . 481785_487791",clap hands clap hands clap hands,6,8,6,6,6,6,6,Ethan/001104.cha,353,11.133,does it smell good,hi camera does it smell good,hi camera hi camera does it smell good
113,113,MOT,Ethan,1,mhm . 487791_500223,mhm,1,1,1,1,1,1,1,Ethan/001104.cha,356,11.133,clap hands clap hands clap hands,does it smell good clap hands clap hands clap hands,hi camera does it smell good clap hands clap hands clap hands
114,114,MOT,Ethan,1,you want your book ? 500223_505663,you want your book,4,4,4,4,4,4,4,Ethan/001104.cha,359,11.133,mhm,clap hands clap hands clap hands mhm,does it smell good clap hands clap hands clap hands mhm
115,115,MOT,Ethan,1,you want your book ? 505663_508958,you want your book,4,4,4,4,4,4,4,Ethan/001104.cha,362,11.133,you want your book,mhm you want your book,clap hands clap hands clap hands mhm you want your book
116,116,MOT,Ethan,1,"the driver on the bus says move on back , move on back , move on back . 510388_520406",the driver on the bus says move on back move on back move on back,15,17,16,19,16,16,15,Ethan/001104.cha,365,11.133,you want your book,you want your book you want your book,mhm you want your book you want your book
117,117,MOT,Ethan,1,the driver on the bus says +... 521141_523846,the driver on the bus says,6,7,7,7,7,7,6,Ethan/001104.cha,368,11.133,the driver on the bus says move on back move on back move on back,you want your book the driver on the bus says move on back move on back move on back,you want your book you want your book the driver on the bus says move on back move on back move on back
118,118,MOT,Ethan,1,boo . 523846_525838,boo,1,1,1,1,1,1,1,Ethan/001104.cha,371,11.133,the driver on the bus says,the driver on the bus says move on back move on back move on back the driver on the bus says,you want your book the driver on the bus says move on back move on back move on back the driver on the bus says
119,119,MOT,Ethan,1,"the people on the bus step in and out , in and out , in and out .",the people on the bus step in and out in and out in and out .,15,17,15,16,15,16,15,Ethan/001104.cha,374,11.133,boo,the driver on the bus says boo,the driver on the bus says move on back move on back move on back the driver on the bus says boo
120,120,MOT,Ethan,1,the people on the bus step in and out all over town . 525838_538223,the people on the bus step in and out all over town,12,12,13,14,13,14,12,Ethan/001104.cha,377,11.133,the people on the bus step in and out in and out in and out .,boo the people on the bus step in and out in and out in and out .,the driver on the bus says boo the people on the bus step in and out in and out in and out .
121,121,MOT,Ethan,1,what's that ? 538223_538926,what's that,2,3,2,2,2,2,2,Ethan/001104.cha,380,11.133,the people on the bus step in and out all over town,the people on the bus step in and out in and out in and out . the people on the bus step in and out all over town,boo the people on the bus step in and out in and out in and out . the people on the bus step in and out all over town
122,122,MOT,Ethan,1,bananas . 538926_541951,bananas,1,1,3,3,3,3,1,Ethan/001104.cha,383,11.133,what's that,the people on the bus step in and out all over town what's that,the people on the bus step in and out in and out in and out . the people on the bus step in and out all over town what's that
123,123,MOT,Ethan,1,a banana . 541951_544503,a banana,2,2,4,4,4,4,2,Ethan/001104.cha,386,11.133,bananas,what's that bananas,the people on the bus step in and out all over town what's that bananas
124,124,MOT,Ethan,1,that's what you had for breakfast a banana . 544503_548791,that's what you had for breakfast a banana,8,10,11,11,11,11,8,Ethan/001104.cha,389,11.133,a banana,bananas a banana,what's that bananas a banana
125,125,MOT,Ethan,1,should we turn the page ? 548791_552040,should we turn the page,5,5,5,6,5,5,5,Ethan/001104.cha,392,11.133,that's what you had for breakfast a banana,a banana that's what you had for breakfast a banana,bananas a banana that's what you had for breakfast a banana
126,126,MOT,Ethan,1,"the driver on the bus says move on back , move on back , move on back . 552040_558920",the driver on the bus says move on back move on back move on back,15,17,16,19,16,16,15,Ethan/001104.cha,395,11.133,should we turn the page,that's what you had for breakfast a banana should we turn the page,a banana that's what you had for breakfast a banana should we turn the page
